Month,Cheddar cheese,Speciality cheese,Cottage cheese 3,Pizza cheese 4,Mozzarella cheese,Colby cheese,Brick cheese,Havarti cheese,Provolone cheese,Emmental and swiss cheese,Cream cheese,Feta cheese,Gouda cheese,Monterey jack cheese,Parmesan cheese,Ricotta cheese,"Farmer's, skim cheese",Friulano and casata cheese
January 2004,"10,918","16,933","2,072",517,"9,021",76,620,440,182,640,"1,672",297,220,241,623,551,113,7
February 2004,"9,406","15,472","2,164",530,"8,217",165,303,284,185,501,"1,959",320,241,168,376,544,98,7
March 2004,"9,931","17,220","2,199",527,"8,754",30,407,372,164,714,"2,666",347,209,235,569,647,137,7
April 2004,"10,287","18,557","2,325",577,"9,583",29,301,477,157,622,"2,673",304,233,533,569,660,115,7
May 2004,"9,555","17,457","1,958",516,"9,280",27,359,358,154,620,"2,103",323,197,463,526,553,114,7
June 2004,"10,390","19,873","2,023",718,"9,447",29,402,466,197,795,"4,012",394,90,435,655,591,104,8
July 2004,"11,626","19,534","2,507",597,"9,796",62,285,446,253,663,"3,265",414,226,447,505,457,138,7
August 2004,"11,513","17,037","2,176",567,"9,269",58,387,395,216,597,"1,887",377,228,328,301,602,120,8
September 2004,"10,546","19,175","2,300",606,"9,350",39,375,408,210,747,"3,892",254,211,300,443,597,130,6
October 2004,"11,019","19,833","2,380",665,"10,129",99,350,532,148,639,"3,099",335,242,448,542,598,140,6
November 2004,"9,950","19,228","2,188",597,"10,314",60,349,423,168,580,"3,219",315,194,277,491,595,113,5
December 2004,"11,272","18,748","2,033",661,"9,946",28,436,396,218,632,"2,709",296,228,385,618,670,117,7
January 2005,"12,318","18,285","2,495",569,"10,692",46,353,369,201,779,"1,829",220,244,574,360,489,129,5
February 2005,"9,738","17,008","2,344",620,"8,998",30,180,374,149,565,"2,714",323,173,312,509,503,121,7
March 2005,"9,403","18,139","2,210",696,"9,019",32,233,399,208,734,"2,297",406,207,332,973,562,128,9
April 2005,"10,040","18,019","2,490",433,"9,688",40,326,415,181,694,"2,368",366,198,312,671,457,139,8
May 2005,"10,389","17,715","2,270",659,"9,444",45,280,418,219,727,"2,378",403,209,360,333,454,122,7
June 2005,"11,203","17,767","2,260",528,"9,242",49,374,418,189,646,"2,591",425,191,558,516,432,100,5
July 2005,"13,193","18,291","2,396",406,"9,543",40,435,451,187,644,"2,745",421,225,492,487,356,148,6
August 2005,"11,004","17,449","2,322",638,"9,533",46,370,397,234,649,"1,864",421,242,501,404,495,138,6
September 2005,"11,315","18,640","2,071",492,"8,946",27,317,429,256,781,"3,780",353,227,368,503,503,161,4
October 2005,"12,435","19,787","2,535",563,"9,812",23,376,497,260,763,"3,623",335,211,438,568,538,183,7
November 2005,"9,529","19,426","1,951",626,"9,847",50,358,418,209,712,"3,198",386,237,327,466,598,151,6
December 2005,"11,241","19,448","2,119",619,"9,435",51,275,464,171,679,"3,527",340,259,506,737,522,132,5
January 2006,"11,978","18,554","2,474",622,"9,919",45,370,461,190,684,"2,335",265,241,412,711,540,142,8
February 2006,"10,739","16,859","2,249",586,"8,645",38,323,424,158,509,"2,698",299,191,343,668,512,145,5
March 2006,"11,240","18,369","2,372",700,"9,304",41,261,465,234,544,"2,813",358,239,299,814,506,130,5
April 2006,"12,000","16,365","2,622",597,"8,534",22,317,457,178,422,"1,726",362,240,420,623,548,121,7
May 2006,"11,293","17,800","2,190",877,"9,258",60,405,396,238,512,"2,513",449,222,311,479,431,96,5
June 2006,"11,237","18,086","2,341",645,"9,032",38,372,321,254,623,"3,073",422,204,298,583,478,123,6
July 2006,"12,446","18,426","2,403",585,"9,015",36,307,409,270,959,"2,777",351,280,508,736,389,153,8
August 2006,"11,987","17,705","2,167",790,"8,750",44,449,389,289,736,"2,543",363,229,356,463,467,168,5
September 2006,"10,986","19,143","2,260",689,"9,058",31,472,343,285,854,"3,338",337,271,349,608,557,134,4
