league,team,season,revenue,spent,competition,position,wins,ties,losses,league_spent,relative,net,goals_for,goals_against,5_season_agg,5_season_net,5_season_league_agg,5_season_relative,first_tier,log_revenue,log_spent,log_league_spent,log_relative,log_relative_winsorized,net_cube_root,sqrt_goals_for,sqrt_goals_against,log_5_season_agg,winsorized_5_season_net,log_5_season_league_agg,log_5_season_relative
England,Manchester City,23,162.17,155.0,First Tier,1,28,5,5,3100.0,0.05,7.169999999999988,94,33,715.7099999999999,-267.14000000000004,9810.0,0.0729571865443425,1,5.094792602102979,5.049856007249537,8.03947991910045,0.048790164169432,0.048790164169432,1.9282931207256993,9.695359714832659,5.744562646538029,6.574671295741936,-169.94,9.19125948416339,0.0704185621482597
England,Manchester City,22,93.8,138.9,First Tier,1,29,6,3,1710.0,0.0812280701754386,-45.10000000000001,99,26,878.21,-500.46,8890.0,0.0987862767154105,1,4.551769409260976,4.940927881671436,7.444833273892193,0.07809749713960162,0.07809749713960162,-3.5595260910209205,9.9498743710662,5.0990195135927845,6.77902377700107,-169.94,9.09279480812114,0.09420618582299377
England,Manchester City,21,64.0,173.4,First Tier,1,27,5,6,1580.0,0.1097468354430379,-109.4,83,32,955.56,-636.26,8850.0,0.1079728813559322,1,4.174387269895637,5.161351511474879,7.365812837209472,0.10413191313347266,0.10413191313347266,-4.782692297017476,9.1104335791443,5.656854249492381,6.863343515611325,-169.94,9.088285725968877,0.10253211271503626
England,Manchester City,20,71.0,169.82,First Tier,2,26,3,9,1790.0,0.0948715083798882,-98.82,102,35,990.63,-667.89,8730.0,0.1134742268041237,1,4.276666119016055,5.140610370518001,7.490529402060711,0.09063701243781716,0.09063701243781716,-4.623259632503724,10.099504938362077,5.916079783099616,6.89935005383812,-169.94,9.074635189810808,0.10748506133526232
England,Manchester City,19,57.6,78.59,First Tier,1,32,2,4,1630.0,0.0482147239263803,-20.99,95,23,923.61,-641.57,8170.0,0.1130489596083231,1,4.070734696582967,4.376888456817758,7.396948602621014,0.04708845415464544,0.04708845415464544,-2.758486182378463,9.746794344808963,4.795831523312719,6.829372026983417,-169.94,9.008346579384707,0.10710306019234385
England,Manchester City,18,91.35,317.5,First Tier,1,32,4,2,2180.0,0.1456422018348623,-226.15,106,27,960.52,-724.7800000000001,7419.1,0.1294658381744416,1,4.5255857066452485,5.763622475012218,7.687538766201629,0.13596535473957383,0.13596535473957383,-6.092546661361186,10.295630140987,5.196152422706632,6.868515365644534,-169.94,8.91194781315956,0.1217448113817133
England,Manchester City,17,35.35,216.25,First Tier,3,23,9,6,1670.0,0.1294910179640718,-180.9,80,39,704.97,-516.28,6012.83,0.1172442926209455,1,3.5931942039795284,5.381048764145501,7.421177528595393,0.12176710467125781,0.12176710467125781,-5.655610893062958,8.94427190999916,6.244997998398398,6.559572743672545,-169.94,8.701817095772823,0.1108652004012315
England,Manchester City,16,67.44,208.47,First Tier,4,19,9,10,1460.0,0.1427876712328767,-141.03,71,41,579.77,-395.23,4981.85,0.1163764465007978,1,4.225957449023992,5.344580531017675,7.2868764117507,0.13347060310564438,0.13347060310564438,-5.205196973945286,8.426149773176359,6.4031242374328485,6.3643548092839675,-169.94,8.513757295480337,0.11008812473335475
England,Manchester City,15,30.3,102.8,First Tier,2,24,7,7,1230.0,0.0835772357723577,-72.5,83,38,554.9100000000001,-397.66,4223.15,0.1313971798302215,1,3.4436180975461075,4.642465970731788,7.115582126184454,0.08026782304611506,0.08026782304611506,-4.169775457701303,9.1104335791443,6.164414002968976,6.320606410644541,-169.94,8.34857333611922,0.1234533112865671
England,Manchester City,14,11.3,115.5,First Tier,1,27,5,6,879.1,0.1313843703787965,-104.2,102,37,599.4100000000001,-443.26,3571.47,0.1678328531389036,1,2.509599262378372,4.757891273005756,6.780035537379766,0.12344198942350526,0.12344198942350526,-4.705681976762234,10.099504938362077,6.082762530298219,6.397612755183562,-169.94,8.181012512288008,0.15514976897621585
England,Manchester City,13,44.3,61.95,First Tier,2,23,9,6,773.73,0.0800666899305959,-17.650000000000006,66,34,641.26,-469.91,3546.13,0.1808337539796905,1,3.8133070324889884,4.142340760490356,6.65251458155569,0.07702278916541647,0.07702278916541647,-2.6036438061390146,8.12403840463596,5.830951894845301,6.46499320612958,-169.94,8.173894104792726,0.16622076014291529
England,Manchester City,12,31.2,91.05,First Tier,1,28,5,5,639.02,0.1424838033238396,-59.85,93,29,657.2600000000001,-519.65,3713.61,0.1769868133702785,1,3.4719664525503626,4.522331907679087,6.461499425865447,0.13320466716393145,0.13320466716393145,-3.911602529027587,9.643650760992955,5.385164807134504,6.489599990057455,-169.94,8.22002897182952,0.1629576246217328
England,Manchester City,11,40.15,183.61,First Tier,3,21,8,9,701.3,0.2618137744189363,-143.46,60,33,572.71,-462.1,3613.97,0.1584711549902185,1,3.717223927123079,5.218245491782478,6.5543606631649745,0.23255018937853203,0.23255018937853203,-5.234922728010522,7.745966692414834,5.744562646538029,6.352124042168828,-169.94,8.192838835803244,0.1471011659961312
England,Manchester City,10,29.2,147.3,First Tier,5,18,13,7,578.32,0.2547032784617513,-118.1,73,45,401.58,-298.62,3416.5,0.1175413434801697,1,3.407841924380824,4.999237249143887,6.361855001932656,0.2268991131248321,0.2268991131248321,-4.906253296277553,8.54400374531753,6.708203932499369,5.997893834872886,-169.94,8.136664568598105,0.11113104322407323
England,Manchester City,9,26.5,157.35,First Tier,≤10,15,5,18,853.76,0.18430238005997,-130.85,58,50,255.78,-174.08,3336.12,0.0766699039602892,1,3.3141860046725258,5.064807772984649,6.750820727778263,0.1691538924198698,0.1691538924198698,-5.076813882419891,7.615773105863909,7.0710678118654755,5.548219687162938,-169.94,8.112863438548326,0.07387285533619757
England,Manchester City,8,10.56,77.95,First Tier,9,14,10,13,941.21,0.0828189245758119,-67.39,42,52,112.69,-50.870000000000005,2906.49,0.038771851958892,1,2.4475508632442313,4.3688147407016515,6.848228179667483,0.07956775604877118,0.07956775604877118,-4.0694134746726665,6.48074069840786,7.211102550927978,4.733475446141015,-50.870000000000005,7.9750454450059935,0.03803910374978107
England,Manchester City,7,4.2,6.5,First Tier,≤10,11,9,18,539.38,0.0120508732248136,-2.3,29,44,79.19,-27.180000000000003,2300.86,0.0344175656059038,1,1.6486586255873816,2.0149030205422647,6.292272595778669,0.011978839586774126,0.011978839586774126,-1.3200061217959123,5.385164807134504,6.6332495807108,4.384398818818937,-27.180000000000003,7.741472770751272,0.03383852977555012
England,Manchester City,6,32.5,12.48,First Tier,≤10,13,4,21,503.83,0.0247702598098565,20.02,43,48,93.2,-38.790000000000006,2342.23,0.0397911392134845,1,3.5115454388310208,2.601207105484161,6.224221738938162,0.024468450697099794,0.024468450697099794,2.7153221210325924,6.557438524302,6.928203230275509,4.545420181582317,-38.790000000000006,7.759285598436004,0.03901986530536076
