prname,date,reporting_week,totalcases,ratecases_total,numdeaths,ratedeaths
British Columbia,2020-02-01,5,1,0.02,0,0.0
Alberta,2020-02-01,5,0,0.0,0,0.0
Saskatchewan,2020-02-01,5,0,0.0,0,0.0
Manitoba,2020-02-01,5,0,0.0,0,0.0
Ontario,2020-02-01,5,3,0.02,0,0.0
Quebec,2020-02-01,5,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-01,5,0,0.0,0,0.0
New Brunswick,2020-02-01,5,0,0.0,0,0.0
Nova Scotia,2020-02-01,5,0,0.0,0,0.0
Prince Edward Island,2020-02-01,5,0,0.0,0,0.0
Yukon,2020-02-01,5,0,0.0,0,0.0
Northwest Territories,2020-02-01,5,0,0.0,0,0.0
Nunavut,2020-02-01,5,0,0.0,0,0.0
Repatriated travellers,2020-02-01,5,0,,0,
Canada,2020-02-01,5,4,0.01,0,0.0
British Columbia,2020-02-08,6,4,0.08,0,0.0
Alberta,2020-02-08,6,0,0.0,0,0.0
Saskatchewan,2020-02-08,6,0,0.0,0,0.0
Manitoba,2020-02-08,6,0,0.0,0,0.0
Ontario,2020-02-08,6,4,0.03,0,0.0
Quebec,2020-02-08,6,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-08,6,0,0.0,0,0.0
New Brunswick,2020-02-08,6,0,0.0,0,0.0
Nova Scotia,2020-02-08,6,0,0.0,0,0.0
Prince Edward Island,2020-02-08,6,0,0.0,0,0.0
Yukon,2020-02-08,6,0,0.0,0,0.0
Northwest Territories,2020-02-08,6,0,0.0,0,0.0
Nunavut,2020-02-08,6,0,0.0,0,0.0
Repatriated travellers,2020-02-08,6,0,,0,
Canada,2020-02-08,6,8,0.02,0,0.0
British Columbia,2020-02-15,7,4,0.08,0,0.0
Alberta,2020-02-15,7,0,0.0,0,0.0
Saskatchewan,2020-02-15,7,0,0.0,0,0.0
Manitoba,2020-02-15,7,0,0.0,0,0.0
Ontario,2020-02-15,7,4,0.03,0,0.0
Quebec,2020-02-15,7,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-15,7,0,0.0,0,0.0
New Brunswick,2020-02-15,7,0,0.0,0,0.0
Nova Scotia,2020-02-15,7,0,0.0,0,0.0
Prince Edward Island,2020-02-15,7,0,0.0,0,0.0
Yukon,2020-02-15,7,0,0.0,0,0.0
Northwest Territories,2020-02-15,7,0,0.0,0,0.0
Nunavut,2020-02-15,7,0,0.0,0,0.0
Repatriated travellers,2020-02-15,7,0,,0,
Canada,2020-02-15,7,8,0.02,0,0.0
British Columbia,2020-02-22,8,6,0.11,0,0.0
Alberta,2020-02-22,8,0,0.0,0,0.0
Saskatchewan,2020-02-22,8,0,0.0,0,0.0
Manitoba,2020-02-22,8,0,0.0,0,0.0
Ontario,2020-02-22,8,5,0.03,0,0.0
Quebec,2020-02-22,8,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-22,8,0,0.0,0,0.0
New Brunswick,2020-02-22,8,0,0.0,0,0.0
Nova Scotia,2020-02-22,8,0,0.0,0,0.0
Prince Edward Island,2020-02-22,8,0,0.0,0,0.0
Yukon,2020-02-22,8,0,0.0,0,0.0
Northwest Territories,2020-02-22,8,0,0.0,0,0.0
Nunavut,2020-02-22,8,0,0.0,0,0.0
Repatriated travellers,2020-02-22,8,0,,0,
Canada,2020-02-22,8,11,0.03,0,0.0
British Columbia,2020-02-29,9,7,0.13,0,0.0
Alberta,2020-02-29,9,0,0.0,0,0.0
Saskatchewan,2020-02-29,9,0,0.0,0,0.0
Manitoba,2020-02-29,9,0,0.0,0,0.0
Ontario,2020-02-29,9,18,0.12,0,0.0
Quebec,2020-02-29,9,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-29,9,0,0.0,0,0.0
New Brunswick,2020-02-29,9,0,0.0,0,0.0
Nova Scotia,2020-02-29,9,0,0.0,0,0.0
Prince Edward Island,2020-02-29,9,0,0.0,0,0.0
Yukon,2020-02-29,9,0,0.0,0,0.0
Northwest Territories,2020-02-29,9,0,0.0,0,0.0
Nunavut,2020-02-29,9,0,0.0,0,0.0
Repatriated travellers,2020-02-29,9,0,,0,
Canada,2020-02-29,9,25,0.06,0,0.0
British Columbia,2020-03-07,10,27,0.51,0,0.0
Alberta,2020-03-07,10,2,0.04,0,0.0
Saskatchewan,2020-03-07,10,0,0.0,0,0.0
Manitoba,2020-03-07,10,0,0.0,0,0.0
Ontario,2020-03-07,10,33,0.22,0,0.0
Quebec,2020-03-07,10,1,0.01,0,0.0
Newfoundland and Labrador,2020-03-07,10,0,0.0,0,0.0
New Brunswick,2020-03-07,10,0,0.0,0,0.0
Nova Scotia,2020-03-07,10,0,0.0,0,0.0
Prince Edward Island,2020-03-07,10,0,0.0,0,0.0
Yukon,2020-03-07,10,0,0.0,0,0.0
Northwest Territories,2020-03-07,10,0,0.0,0,0.0
Nunavut,2020-03-07,10,0,0.0,0,0.0
Repatriated travellers,2020-03-07,10,0,,0,
Canada,2020-03-07,10,63,0.16,0,0.0
British Columbia,2020-03-14,11,64,1.2,1,0.02
Alberta,2020-03-14,11,56,1.23,0,0.0
Saskatchewan,2020-03-14,11,2,0.17,0,0.0
Manitoba,2020-03-14,11,4,0.28,0,0.0
Ontario,2020-03-14,11,181,1.2,1,0.01
Quebec,2020-03-14,11,7,0.08,1,0.01
Newfoundland and Labrador,2020-03-14,11,0,0.0,0,0.0
New Brunswick,2020-03-14,11,2,0.25,0,0.0
Nova Scotia,2020-03-14,11,2,0.2,0,0.0
Prince Edward Island,2020-03-14,11,1,0.59,0,0.0
Yukon,2020-03-14,11,0,0.0,0,0.0
Northwest Territories,2020-03-14,11,0,0.0,0,0.0
