league,team,season,revenue,spent,competition,position,wins,ties,losses,league_spent,relative,net,goals_for,goals_against,5_season_agg,5_season_net,5_season_league_agg,5_season_relative,first_tier
England,Manchester City,23,162.17,155.0,First Tier,1,28,5,5,3100.0,0.05,7.1699999999999875,94,33,715.7099999999999,-267.14000000000004,9810.0,0.0729571865443425,1
England,Manchester City,22,93.8,138.9,First Tier,1,29,6,3,1710.0,0.0812280701754386,-45.10000000000001,99,26,878.21,-500.46000000000004,8890.0,0.09878627671541058,1
England,Manchester City,21,64.0,173.4,First Tier,1,27,5,6,1580.0,0.10974683544303798,-109.4,83,32,955.5600000000001,-636.26,8850.0,0.10797288135593221,1
England,Manchester City,20,71.0,169.82,First Tier,2,26,3,9,1790.0,0.09487150837988827,-98.82,102,35,990.63,-667.89,8730.0,0.11347422680412371,1
England,Manchester City,19,57.6,78.59,First Tier,1,32,2,4,1630.0,0.04821472392638037,-20.990000000000002,95,23,923.61,-641.57,8170.0,0.11304895960832313,1
England,Manchester City,18,91.35,317.5,First Tier,1,32,4,2,2180.0,0.14564220183486237,-226.15,106,27,960.52,-724.7800000000001,7419.1,0.12946583817444163,1
England,Manchester City,17,35.35,216.25,First Tier,3,23,9,6,1670.0,0.12949101796407186,-180.9,80,39,704.97,-516.28,6012.83,0.11724429262094554,1
England,Manchester City,16,67.44,208.47,First Tier,4,19,9,10,1460.0,0.14278767123287672,-141.03,71,41,579.77,-395.23,4981.85,0.11637644650079788,1
England,Manchester City,15,30.3,102.8,First Tier,2,24,7,7,1230.0,0.08357723577235772,-72.5,83,38,554.9100000000001,-397.65999999999997,4223.15,0.13139717983022156,1
England,Manchester City,14,11.3,115.5,First Tier,1,27,5,6,879.1,0.1313843703787965,-104.2,102,37,599.4100000000001,-443.26,3571.47,0.16783285313890361,1
England,Manchester City,13,44.3,61.95,First Tier,2,23,9,6,773.73,0.08006668993059594,-17.650000000000006,66,34,641.26,-469.90999999999997,3546.13,0.18083375397969054,1
England,Manchester City,12,31.2,91.05,First Tier,1,28,5,5,639.02,0.14248380332383964,-59.849999999999994,93,29,657.2600000000001,-519.65,3713.6099999999997,0.17698681337027855,1
England,Manchester City,11,40.15,183.61,First Tier,3,21,8,9,701.3,0.2618137744189363,-143.46,60,33,572.71,-462.09999999999997,3613.9700000000003,0.15847115499021852,1
England,Manchester City,10,29.2,147.3,First Tier,5,18,13,7,578.32,0.2547032784617513,-118.10000000000001,73,45,401.58,-298.62,3416.5,0.11754134348016976,1
England,Manchester City,09,26.5,157.35,First Tier,≤10,15,5,18,853.76,0.18430238005997002,-130.85,58,50,255.78,-174.08,3336.12,0.0766699039602892,1
England,Manchester City,08,10.56,77.95,First Tier,9,14,10,13,941.21,0.08281892457581198,-67.39,42,52,112.69000000000001,-50.870000000000005,2906.4900000000002,0.038771851958892,1
England,Manchester City,07,4.2,6.5,First Tier,≤10,11,9,18,539.38,0.012050873224813675,-2.3,29,44,79.19,-27.180000000000003,2300.86,0.03441756560590388,1
England,Manchester City,06,32.5,12.48,First Tier,≤10,13,4,21,503.83,0.0247702598098565,20.02,43,48,93.2,-38.790000000000006,2342.23,0.03979113921348459,1
England,Manchester City,05,7.94,1.5,First Tier,8,13,13,12,497.94,0.003012411133871551,6.44,47,39,101.0,-77.63000000000001,2326.27,0.04341714418360723,1
England,Manchester City,04,6.62,14.26,First Tier,≤10,9,14,15,424.13,0.033621766911088584,-7.64,55,54,108.98,-92.50999999999999,2142.47,0.05086652321852815,1
England,Manchester City,03,0.75,44.45,First Tier,9,15,6,17,335.58,0.13245723821443472,-43.7,47,54,95.80000000000001,-74.60000000000001,2092.8199999999997,0.045775556426257406,1
England,Manchester City,02,6.6,20.51,Second Tier,≤10,31,6,9,580.75,0.035316401205337924,-13.910000000000002,108,52,60.260000000000005,-37.910000000000004,2009.5599999999997,0.02998666374728797,0
England,Manchester City,01,1.46,20.28,First Tier,≤10,8,10,20,487.87,0.04156845061184332,-18.82,41,65,44.519999999999996,-24.939999999999998,1611.0,0.02763500931098696,1
England,Manchester City,00,1.04,9.48,Not First,≤10,,,,314.14,0.03017762780925702,-8.440000000000001,,,36.0,-10.950000000000001,1328.8200000000002,0.027091705422856365,0
